CODI_CAPA,CAPA_GENERICA,NOM_CAPA,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI,ADRECA
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Indústria amb carrer Conca,Sant Martí,el Camp de l'Arpa del Clot,"C Indústria, 270"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb Sicília,Eixample,el Fort Pienc,"C Sicília, 191"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Passeig de la Vall Hebron i  Pl  Karl Marx,Horta-Guinardó,Horta,"C Mont ral, 63"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb carrer de Dolors Monserdà,Sarrià-Sant Gervasi,Sarrià,"Via Augusta, 362"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Gran Via de Carles III amb Avinguda Diagonal,Les Corts,les Corts,"Av Diagonal, 609"
P001,Internet i comunicacions,WiFi BCN,Platja de Sant Sebastià,Ciutat Vella,la Barceloneta,"Pg Marítim Barceloneta, 2"
P001,Internet i comunicacions,WiFi BCN,Parc de la Pegaso,Sant Andreu,la Sagrera,"C Sagrera, 179"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Sicília amb el carrer Consell de Cent,Eixample,el Fort Pienc,"C Sicília, 169"
P001,Internet i comunicacions,WiFi BCN,Museu Picasso,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","C Montcada, 15*23"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Felip II amb Garcilaso,Sant Andreu,la Sagrera,"C Felip II, 136"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Santa Carolina amb Padilla,Horta-Guinardó,el Baix Guinardó,"C Santa Carolina, 20"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrer Rocafort amb carrer Consell de Cent,Eixample,la Nova Esquerra de l'Eixample,"C Rocafort, 125"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Casanova amb carrer Mallorca,Eixample,l'Antiga Esquerra de l'Eixample,"C Casanova, 128"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Jerez amb Coïmbra,Horta-Guinardó,Horta,"C Jerez, 2"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Font de la Guatlla,Sants-Montjuïc,la Font de la Guatlla,"C Rabí Rubèn, 22*26"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del General Mitre amb carrer Septimània,Sarrià-Sant Gervasi,el Putxet i el Farró,"Rda General Mitre, 257"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Llacuna amb l'Avinguda Litoral,Sant Martí,el Poblenou,"Pg Marítim del Bogatell, 97"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda Diagonal amb Sardenya,Eixample,el Fort Pienc,"Av Diagonal, 277"
P001,Internet i comunicacions,WiFi BCN,El Centre de la Platja,Ciutat Vella,la Barceloneta,"Pg Marítim Barceloneta, 25*29"
P001,Internet i comunicacions,WiFi BCN,Casal de Gent Gran Joan Casanelles,Sant Martí,el Clot,"C Concili de Trento, 35"
P001,Internet i comunicacions,WiFi BCN,Jardins de la Casa Elizalde,Eixample,la Dreta de l'Eixample,"C València, 302"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Selva de Mar amb Llull,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"C Selva de Mar, 38"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Bruc amb l'Avinguda Diagonal,Eixample,la Dreta de l'Eixample,"C Bruc, 152"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Lepant amb l'Avinguda Gaudí,Eixample,la Sagrada Família,"Av Gaudí, 22"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del Passeig de Sant Joan amb el carrer Indústria,Gràcia,el Camp d'en Grassot i Gràcia Nova,"Pg Sant Joan, 166"
P001,Internet i comunicacions,WiFi BCN,Sala Jove de Baró de Viver,Sant Andreu,Baró de Viver,"Pg Santa Coloma, 104"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Pau Claris amb carrer Còrsega,Eixample,la Dreta de l'Eixample,"C Pau Claris, 189"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb carrer Indústria,Gràcia,el Camp d'en Grassot i Gràcia Nova,"C Nàpols, 313"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi al Passeig de Sant Antoni (Estació d'Autobusos de Sants),Sants-Montjuïc,Sants,"C Viriat, 23"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Vallmajor amb carrer Reina Victoria,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"C Vallmajor, 8"
